regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,obitosAcumulado,Recuperadosnovos,emAcompanhamentoNovos
Nordeste,BA,,29,,,,2020-03-23,13,14873064.0,63,0,,
Nordeste,BA,,29,,,,2020-03-24,13,14873064.0,76,0,,
Nordeste,BA,,29,,,,2020-03-25,13,14873064.0,84,0,,
Nordeste,BA,,29,,,,2020-03-26,13,14873064.0,104,0,,
Nordeste,BA,,29,,,,2020-03-27,13,14873064.0,115,0,,
Nordeste,BA,,29,,,,2020-03-28,13,14873064.0,127,0,,
Nordeste,BA,,29,,,,2020-03-29,14,14873064.0,154,1,,
Nordeste,BA,,29,,,,2020-03-30,14,14873064.0,176,1,,
Nordeste,BA,,29,,,,2020-03-31,14,14873064.0,213,2,,
Nordeste,BA,,29,,,,2020-04-01,14,14873064.0,246,2,,
Nordeste,BA,,29,,,,2020-04-02,14,14873064.0,267,3,,
Nordeste,BA,,29,,,,2020-04-03,14,14873064.0,282,5,,
Nordeste,BA,,29,,,,2020-04-04,14,14873064.0,332,7,,
Nordeste,BA,,29,,,,2020-04-05,15,14873064.0,401,9,,
Nordeste,BA,,29,,,,2020-04-06,15,14873064.0,431,10,,
Nordeste,BA,,29,,,,2020-04-07,15,14873064.0,456,12,,
Nordeste,BA,,29,,,,2020-04-08,15,14873064.0,497,15,,
Nordeste,BA,,29,,,,2020-04-09,15,14873064.0,559,19,,
Nordeste,BA,,29,,,,2020-04-10,15,14873064.0,604,19,,
Nordeste,BA,,29,,,,2020-04-11,15,14873064.0,635,21,,
Nordeste,BA,,29,,,,2020-04-12,16,14873064.0,673,21,,
Nordeste,BA,,29,,,,2020-04-13,16,14873064.0,723,22,,
Nordeste,BA,,29,,,,2020-04-14,16,14873064.0,759,22,,
Nordeste,BA,,29,,,,2020-04-15,16,14873064.0,807,27,,
Nordeste,BA,,29,,,,2020-04-16,16,14873064.0,951,30,,
Nordeste,BA,,29,,,,2020-04-17,16,14873064.0,1059,36,,
Nordeste,BA,,29,,,,2020-04-18,16,14873064.0,1193,37,,
Nordeste,BA,,29,,,,2020-04-19,17,14873064.0,1230,45,,
Nordeste,BA,,29,,,,2020-04-20,17,14873064.0,1341,46,,
Nordeste,BA,,29,,,,2020-04-21,17,14873064.0,1489,47,,
Nordeste,BA,,29,,,,2020-04-22,17,14873064.0,1644,50,,
Nordeste,BA,,29,,,,2020-04-23,17,14873064.0,1789,59,,
Nordeste,BA,,29,,,,2020-04-24,17,14873064.0,1962,64,,
Nordeste,BA,,29,,,,2020-04-25,17,14873064.0,2081,70,,
Nordeste,BA,,29,,,,2020-04-26,18,14873064.0,2209,73,,
Nordeste,BA,,29,,,,2020-04-27,18,14873064.0,2354,76,,
Nordeste,BA,,29,,,,2020-04-28,18,14873064.0,2540,86,,
Nordeste,BA,,29,,,,2020-04-29,18,14873064.0,2646,96,,
Nordeste,BA,,29,,,,2020-04-30,18,14873064.0,2851,104,,
Nordeste,BA,,29,,,,2020-05-01,18,14873064.0,3085,117,,
Nordeste,BA,,29,,,,2020-05-02,18,14873064.0,3267,123,,
Nordeste,BA,,29,,,,2020-05-03,19,14873064.0,3495,123,,
Nordeste,BA,,29,,,,2020-05-04,19,14873064.0,3734,141,,
Nordeste,BA,,29,,,,2020-05-05,19,14873064.0,4040,146,,
Nordeste,BA,,29,,,,2020-05-06,19,14873064.0,4301,160,,
Nordeste,BA,,29,,,,2020-05-07,19,14873064.0,4528,165,,
Nordeste,BA,,29,,,,2020-05-08,19,14873064.0,4818,183,,
Nordeste,BA,,29,,,,2020-05-09,19,14873064.0,5174,196,,
Nordeste,BA,,29,,,,2020-05-10,20,14873064.0,5558,202,,
Nordeste,BA,,29,,,,2020-05-11,20,14873064.0,5808,211,,
Nordeste,BA,,29,,,,2020-05-12,20,14873064.0,6204,225,,
